Casitas
Casita balanceada de 1 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 41 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 42 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 43 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 44 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 45 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 46 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 47 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 48 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 49 casitas: 	 rta1: 35	 rta2: 35
Casita balanceada de 50 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 51 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 52 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 53 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 54 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 55 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 56 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 57 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 58 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 59 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 60 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 61 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 62 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 63 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 64 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 65 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 66 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 67 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 68 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 69 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 70 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 71 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 72 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 73 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 74 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 75 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 76 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 77 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 78 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 79 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 80 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 81 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 82 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 83 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 84 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 85 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 86 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 87 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 88 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 89 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 90 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 91 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 92 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 93 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 94 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 95 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 96 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 97 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 98 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 99 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 100 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 101 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 102 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 103 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 104 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 105 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 106 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 107 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 108 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 109 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 110 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 111 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 112 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 113 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 114 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 115 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 116 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 117 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 118 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 119 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 120 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 121 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 122 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 123 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 124 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 125 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 126 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 127 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 128 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 129 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 130 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 131 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 132 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 133 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 134 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 135 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 136 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 137 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 138 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 139 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 140 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 141 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 142 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 143 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 144 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 145 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 146 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 147 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 148 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 149 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 150 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 151 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 152 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 153 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 154 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 155 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 156 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 157 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 158 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 159 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 160 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 161 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 162 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 163 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 164 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 165 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 166 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 167 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 168 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 169 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 170 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 171 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 172 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 173 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 174 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 175 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 176 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 177 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 178 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 179 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 180 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 181 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 182 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 183 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 184 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 185 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 186 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 187 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 188 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 189 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 190 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 191 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 192 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 193 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 194 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 195 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 196 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 197 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 198 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 199 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 200 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 201 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 202 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 203 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 204 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 205 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 206 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 207 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 208 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 209 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 210 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 211 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 212 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 213 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 214 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 215 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 216 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 217 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 218 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 219 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 220 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 221 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 222 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 223 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 224 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 225 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 226 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 227 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 228 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 229 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 230 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 231 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 232 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 233 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 234 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 235 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 236 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 237 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 238 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 239 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 240 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 241 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 242 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 243 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 244 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 245 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 246 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 247 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 248 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 249 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 250 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 251 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 252 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 253 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 254 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 255 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 256 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 257 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 258 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 259 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 260 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 261 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 262 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 263 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 264 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 265 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 266 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 267 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 268 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 269 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 270 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 271 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 272 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 273 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 274 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 275 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 276 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 277 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 278 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 279 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 280 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 281 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 282 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 283 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 284 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 285 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 286 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 287 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 288 casitas: 	 rta1: 204	 rta2: 204
Casita balanceada de 289 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 290 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 291 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 292 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 293 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 294 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 295 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 296 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 297 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 298 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 299 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 300 casitas: 	 rta1: -1	 rta2: -1
Total de casitas balanceadas: 3
